epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4238.55,0.42806,0.40202,0.92168,0.97083,0.97267,0.98039,0.91627,0.43366,0.32791,1.05084,0.0004556,0.0004556,0.0004556
80,4356.95,0.42346,0.40331,0.92685,0.96802,0.98221,0.98061,0.9198,0.42561,0.31174,1.02444,0.0004358,0.0004358,0.0004358
81,4473.56,0.42087,0.39303,0.92224,0.98202,0.97147,0.98189,0.91616,0.46828,0.31914,1.07666,0.000416,0.000416,0.000416
82,4583.09,0.41684,0.39064,0.91755,0.97962,0.9774,0.98677,0.92288,0.44317,0.30962,1.05525,0.0003962,0.0003962,0.0003962
83,4689.5,0.41487,0.38339,0.91935,0.97974,0.9784,0.98068,0.91954,0.46532,0.31769,1.07244,0.0003764,0.0003764,0.0003764
84,4811.69,0.41218,0.38715,0.9203,0.97834,0.9756,0.98057,0.92139,0.41383,0.2964,1.0132,0.0003566,0.0003566,0.0003566
85,4934.59,0.4104,0.39001,0.91733,0.9795,0.97147,0.98117,0.92267,0.42602,0.31813,1.02493,0.0003368,0.0003368,0.0003368
86,5050.96,0.40959,0.38198,0.91607,0.97707,0.97459,0.98041,0.92072,0.43686,0.32127,1.03027,0.000317,0.000317,0.000317
87,5162.44,0.40939,0.38253,0.91847,0.98218,0.9806,0.98755,0.92629,0.37588,0.2885,0.96942,0.0002972,0.0002972,0.0002972
88,5285.46,0.40063,0.38084,0.91043,0.98213,0.97758,0.98993,0.92896,0.39653,0.29214,0.98791,0.0002774,0.0002774,0.0002774
89,5401.16,0.4039,0.37981,0.91469,0.98462,0.97459,0.99105,0.92631,0.40198,0.30705,1.00177,0.0002576,0.0002576,0.0002576
90,5519.86,0.40521,0.37388,0.91682,0.97839,0.978,0.98642,0.92641,0.38884,0.28796,0.99253,0.0002378,0.0002378,0.0002378
91,5639.4,0.35758,0.30888,0.8829,0.9859,0.97742,0.98081,0.92399,0.39755,0.29468,1.00505,0.000218,0.000218,0.000218
92,5761.64,0.35857,0.30391,0.88129,0.98587,0.9751,0.98099,0.92471,0.42239,0.30085,1.02614,0.0001982,0.0001982,0.0001982
93,5882.92,0.35705,0.30211,0.88649,0.98085,0.97617,0.98052,0.92227,0.42617,0.3091,1.03183,0.0001784,0.0001784,0.0001784
94,6007.53,0.35167,0.30148,0.87963,0.97537,0.97586,0.99062,0.92197,0.43562,0.30124,1.03669,0.0001586,0.0001586,0.0001586
95,6128.78,0.35188,0.29823,0.88356,0.97962,0.97746,0.98112,0.92203,0.42387,0.28371,1.03074,0.0001388,0.0001388,0.0001388
96,6252.08,0.34865,0.28926,0.8791,0.97593,0.97903,0.98009,0.92208,0.42036,0.28379,1.0297,0.000119,0.000119,0.000119
97,6362.34,0.34417,0.28893,0.87555,0.98154,0.97459,0.99091,0.92716,0.41526,0.27728,1.02215,9.92e-05,9.92e-05,9.92e-05
98,6472.21,0.34416,0.28968,0.88067,0.98456,0.97208,0.98076,0.924,0.40123,0.2738,1.00989,7.94e-05,7.94e-05,7.94e-05
99,6573.93,0.33778,0.28273,0.87243,0.98675,0.97205,0.99106,0.92779,0.40456,0.27801,1.01316,5.96e-05,5.96e-05,5.96e-05
100,6665.5,0.33715,0.28463,0.87568,0.98706,0.96934,0.98089,0.92645,0.40906,0.28504,1.01924,3.98e-05,3.98e-05,3.98e-05
